category;common_name;diseases_pests;exposure;family;flowering;flowers_color;foliage_type;height;latin_name;multiplication_methods;origin;plant_type;plantation_repotting;related_species;rusticity;soil_acidity;soil_humidity;soil_type;synonyms;trimming;toxicity;usage;vegetation_type 
;;;ensoleillée;Plantaginacées;juillet à août;blanc, bleu, rose;semi-persistant;jusqu'à 1 m selon les cultivars;Veronica spicata;bouture, semis;Europe;plante herbacée à fleur;printemps, été;;très rustique, -26°C;neutre à basique, avec une préférence pour le sol calcaire;normal;très tolérante;Cardia spicata, Eustaxia oppositifolia, Hedystachys spicata, Pseudolysimachion spicatum;;;massif;vivace
;;pucerons;ombre claire;Violacées;toute la belle saison;blanc et mauve;persistant;15 cm maximum;Viola banksii;division;Australie;plante ornementale pour extérieur ou intérieur;automne, printemps;;peu rustique, jusqu'à -7 °C;légèrement acide à légèrement alcalin;frais;humifère, limoneux ou sablonneux;Viola hederacea (par erreur);;;massif d'ombre, couvre-sol, pot;vivace
;;;soleil;Renonculacées;mars;jaune dor;caduc;15 à 40 cm;Adonis amurensis;semis, divisions;Asie;plante à fleur herbacée;printemps;;très rustique, -34°C;légèrement acide à légèrement basique;frais;humifère et drainant;;;;sous les feuillus;vivace
;;limaces, escargots sur les nouvelles pousses;ensoleillée;Renonculacées;avril-mai;jaune dor;caduc;10 à 30 cm;Adonis vernalis;;France, Espagne, centre et sud-est de lEurope;plante à fleur herbacée;semis, divisions;;rustique, -20°C;neutre à très basique;normal à sec;humifère et drainant, calcaire;;;;rocaille, plante de collection;vivace
;;;mi-ombre, ombre;Labiacées, Lamiacées, Labiées;mai à juin;bleu;persistant;10 à 40 cm;Ajuga reptans;divisions, semis;Europe;plante ornementale couvre-sol;printemps;;très rustique, -26°C;neutre à légèrement acide;frais à humide;riche et humifère;;;;massif, sous-bois, couvre-sol;vivace
;;;ensoleillée à mi-ombre;Lardizabalacées;avril à mai;bordeau;semi-persistant;10 m de hauteur, 20 à 30 m de longueur;Akebia quinata;marcottage, semis;Chine, Corée, Japon;plante grimpante;à l'automne ou au printemps;;rustique,  -20°C;légèrement acide légèrement basique;normal;tolérant;;;;palissée sur une pergola, un grillage;arbustive
;;le mildiou, les altises;soleil;Brassicacées, Crucifères;avril, mai, juin;jaune;persistant;de 15 à 40 cm;Alyssum saxatile;semis en avril, division de la touffe, bouturage en août;Europe;sous-arbrisseau à fleurs;printemps ou automne;;rustique;neutre, supporte le calcaire;normal;ordinaire, bien drainé;Aurinia saxatilis;rabattez-la d'un bon tiers les tiges pour lui conserver un port compact après la floraison;;rocaille, bordure, couvre-sol, muret;vivace
;;;ensoleillée à mi-ombre;Apocynacées;avril à juillet;bleu clair;caduc;1m;Amsonia ciliata;semis, division;Amérique du nord;plante herbacée à fleurs;printemps, septembre;;rustique, -24°C;légèrement acide à basique;normal à frais;assez drainant, limon sablonneux, ou calcaire;;;;massif, potée;plante vivace
;;les limaces au début de la végétation, oïdium;soleil, mi-ombre, ombre;Renonculacées;Mai, juin, juillet;nombreux coloris, souvent bicolores;caduc;de 40 à 80 cm selon les variétés;Aquilegia vulgaris;semis au printemps ou division de la touffe en automne;Europe, Amérique du nord;fleur;automne, printemps;;rustique;neutre;normal;ordinaire, riche en humus, drainé, terre de bruyère;;coupez les tiges défleuries, le feuillage fera sa réapparition;;massif, rocaille, bordure, sous-bois, fleur coupée;vivace
;;;ensoleillée;Renonculacées;mars à avril;rouge, mauve, rarement blanc;caduc;10 à 60 cm;Anemone pavonina;semis au printemps;Grèce, sud-ouest de la France;plante ornementale, plante indigène;automne;;rustique, jusqu'à -15 °C;neutre à légèrement basique;normal à sec;sol minéral, pas trop riche;Anemone hortensis sbsp. pavonina;;;plante de rocaille;vivace
;;;ombre à mi-ombre;Renonculacées;mai-juin;blanche;caduc;20 à 50 cm;Anemone sylvestris;semis;Europe, Sibérie;plante ornementale, plante indigène;printemps, automne;;très rustique, -30°C;neutre à très basique;normal;sol humifère, pas trop riche;;;;massif ombragé, bas des haies, lisière;vivace
;;;ombre à mi-ombre;Renonculacées;mars à mai;jaune très pâle;caduc;10 à 25 cm;Anemone x lipsiensis;division;Europe, Asie;plante ornementale, couvre-sol;printemps en feuille, été/automne à partir de tubercule;;très rustique, jusqu'à -30 °C;légèrement acide à très basique;normal;sol humifère, tolérant;Anemone x seemannii, A. x intermedia;;;massif ombragé, bas des haies, lisière;vivace
;;;mi-ombre à ensoleillée;Brassicacées, Crucifères;avril à mai;blanc, parfois rose;persistante;10 à 20 cm;Arabis caucasica;divisions, semis;Europe;plante ornementale couvre-sol;printemps;;très rustique, -26°C;neutre à légèrement acide;normal à sec;drainant, sol pauvre à humifère;Arabis albida, Arabis alpina subsp. caucasica;;;massif, rocaille, talus;vivace
;;;ensoleillée à mi-ombre;Caryophyllacées;avril à juillet;blanche;semi-persistant;10 à 30 cm;Arenaria montana;printemps;France, sud-ouest de l'Europe;plante couvre-sol;divisions, semis;;très rustique, jusqu'à -34 °C;acide à neutre;normal à sec;drainant, sablonneux, rocailleux;;;;massif, bordure, rocaille, talus;vivace
;;les limaces;mi-ombre;Aracées;mai;pourpre et blanc;caduc;de 30 à 50 cm;Arisaema sikokianum;semis ou séparation des rejets au printemps;Japon, Chine;vivace tubéreuse;printemps;;rustique, paillez vos pieds en hiver;plutôt acide;frais;riche en humus, bien drainé;;;;serre froide;vivace
;;;mi-ombre à ombre profonde;Aristolochiacées;avril à juillet;rouge;semi-persistant;15 cm;Asarum caudatum;semis, divisions;Europe, ouest de l'Asie;herbacée rhizomateuse;printemps;;rustique, jusqu'à -15 °C;acide à neutre;frais à humide, momentanément sec;tolérant, apprécie les sols humifères;;;;massif d'ombre, couvre-sol, plante aromatique;vivace
;;les pucerons;soleil, mi-ombre;Brassicacées, Crucifères;de mars à juin;blanc, rose, violet;persistant;jusqu'à 20 cm;Aubrieta;semis à l'automne ou au printemps, bouturage facile en juin, division de la touffe au printemps;Italie, Grèce et Asie Mineure;fleur;printemps;;-15°C, rustique;neutre, calcaire accepté;normal, sec;ordinaire, acceptent les sols calcaires;;Taillez-la à la cisaille après la floraison pour la remettre en forme;;bordure, rocaille, couvre-sol, pot, jardinère;vivace
;;;ensoleillée à mi-ombre;Légumineuses, Fabacées, Papilionacées;avril à mai;jaune;caduc;0,60 à 1, 30 m;Baptisia sphaerocarpa;semis;Amérique du Nord;plante herbacée;printemps, fin d'été;;très rustique, jusqu'à -29°C;acide à légèrement basique;frais à sec;drainant;;;;massif, bouquet sec, amélioration du sol mellifère, permaculture;vivace
;;;mi-ombre à ombre claire;Bégoniacées;juillet à octobre;orange, rouge, rose, jaune, blanc;persistant;40 à 70 cm en tout sens;Begonia boliviensis;boutures, semis;Argentine, Bolivie;plante à tubercule;printemps;;non rustique, 5 °C;légèrement acide à neutre;frais;riche et humifère;;;;plante pour jardinière;vivace
;;résistante aux maladies;soleil à mi-ombre;Bignoniacées;avril à juin;jaune orangé;semi-persistant;3 à 6 m;Bignonia capreolata;bouture, semis;sud-est des Etats-Unis;plante grimpante;printemps, automne;;rustique, -20°C;neutre à légèrement basique;frais à humide, mais résiste à la sécheresse une fois bien enracinée;riche et humifère;Doxantha capreolata, Anisostichus crucigera;;;mur, pergola, clôture;vivace
;;;mi-ombre à ombre;Boraginacées, Borraginacées, Boragacées;mars à mai;bleu;caduc;45 à 50 cm;Brunnera macrophylla;;Caucase;plante herbacée à fleur;printemps, septembre;;très rustique, -34°C;acide à neutre;normal à sec;riche et humifère;Anchusa mysotodiflora;;;massif;plante vivace à vie brève
;;;ensoleillée à mi-ombre;Caryophyllacées;mai, juin;blanc;persistant;15 à 30 cm;Cerastium tomentosum;divisions, semis;Europe, Asie occidentale;plante couvre-sol;printemps;;très rustique, -34°C;légèrement acide à légèrement basique;normal;moyen tolérant;;;;massif, bordure, rocaille, talus;vivace
;;;mi-ombre à ombre légère;Chloranthacées;avril-mai;blanc;caduc;15 à 40 cm;Chloranthus fortunei;;Chine, Japon;plante vivace;printemps, automne;;rustique jusqu'à -17 °C;moyennement acide à moyennement basique;frais à humide;fertile;Tricercandra fortunei;;;sous-bois, massif ombragé;herbacée rhizomateuse
;;;ombre à mi-ombre;Portulacacées;de mars à juin;blanc à rose;persistant;10 à 40 cm;Claytonia sibirica;semis;Amérique du nord;plante ornementales;printemps, automne;;très rustique, -28°C;acide à neutre;frais à humide;riche à assez pauvre;Montia sibirica;;;sous-bois, lisière;vivace à vie brève
;;;ensoleillée à mi-ombre;Renonculacées;mars-avril;rose clair à blanc;persistant;jusque 8 m;Clematis armandii;bouturage au printemps;Chine;plante grimpante;automne;;rustique, -19 °C;neutre;frais;sol riche et drainant;;;;mur, palissade;liane volubile se lignifiant
;;limaces, escargots sur les nouvelles pousses;ensoleillée;Renonculacées;avril, mai, remontée en septembre;blanche;caduc;1,80 à 2,50 m;Clematis 'Miss Bateman';boutures;horticole;plante grimpante;printemps, automne;;rustique, -19°C;légèrement acide à basique;frais à normal;humifère et drainant;;;;pergola, mur, haie, petit arbre;vivace
;;;ensoleillée;Renonculacées;mars, avril, mai;bleu, rose, blanche;caduc;2 à 3 m;Clematis macropetala;boutures;Nord de la Chine, Sibérie, Mongolie;plante grimpante à rampante;printemps, automne;;très rustique, -34°C;légèrement acide à basique;frais à normal;humifère et drainant;;limaces, escargots sur les nouvelles pousses;;pergola, mur, haie, petit arbre;plante vivace
;;limaces et escargots, maladie du flétrissement de la clématite;ensoleillée;Renonculacées;avril, mai;rose, blanc;caduc;5 m ou plus;Clematis montana;boutures;Chine, Himalaya;plante grimpante;printemps, automne;;rustique jusquà -19°C;légèrement acide à basique;frais à normal;humifère et drainant;;;;pergola, mur, haie, petit arbre;plante vivace
;;limaces, escargots sur les nouvelles pousses;ensoleillée;Renonculacées;mai-juin, remontée en septembre;rose;caduc;3 m;Clematis patens 'Asao';boutures;horticole, le Japon pour Clematis patens;plante grimpante;printemps, automne;;-19 °C;neutre à basique;normal;humifère;;taille basse d'une tige sur 3 en mars;;pergola, mur, haie;plante vivace
;;limaces, escargots sur les nouvelles pousses;ensoleillée;Renonculacées;avril, mai, remontée en septembre;rose;caduc;jusqu'à 3m;Clematis patens Docteur Ruppel;boutures;Japon;plante grimpante à fleurs;printemps, automne;;rustique, -19°C;neutre à basique;normal;humifère;;;;pergola, mur, haie;plante vivace
;;limaces, escargots sur les nouvelles pousses;ensoleillée;Renonculacées;mars, avril, mai;bleu, rose, blanche;caduc;1 à 3 m;Clematis texensis;boutures;Texas;plante grimpante à rampante;printemps, automne;;très rustique, -34°C;légèrement acide à basique;normal;humifère et drainant;;;;massif, mur, petit arbuste, pot;vivace
;;les pucerons, les limaces, les cochenilles;le pied à l'ombre et la tête au soleil ! Installez toujours un arbuste de petite taille devant un pied de clématite afin qu'il ombrage naturellement le pied de la plante.;Renonculacées;printemps , été selon les variétés;variés;caduc et persistant;jusqu'à 10 m;Clematis;bouturage et marcottage en juin-juillet;Hémisphère nord;fleur grimpante;printemps;;rustique;neutre;normal;riche en humus, léger;;coupez les fleurs fanées sauf pour Clematis viticella qui produits des graines décoratives;;plante grimpante nécessitant un treillage;vivace
;;les pucerons noirs , les limaces, l'oïdium, les cochenilles;La tête au soleil et les pieds à l'ombre ! Installez toujours un arbuste de petite taille devant un pied de clématite afin qu'il ombrage naturellement le pied de la plante.;Renonculacées;printemps, aout à septembre pour Clematis orientalis ou Clematis tangutica;rose, blanc;caduc;Ses tiges volubiles dépassent 10 m de long;Clematis;bouturage en septembre, prélever des tiges d'une dizaine de centimètres;centre de la Chine, Himalaya, Europe méridionale et centrale;plante grimpante;La plantation s'effectue d'octobre à mai, en laissant au moins 3 m de part et d'autre de la clématite à petites fleurs pour qu'elle puisse convenablement se développer;;-15°C, très rustique;neutre;frais;sol de préférence riche, profond, bien travaillé pas trop calcaire et surtout filtrant, pour éviter tout risque d'humidité stagnante;;La taille est légère au printemps. Supprimez les branches mortes et réduisez celles qui ont fleuri, afin de provoquer de nouvelles tiges qui fleuriront l'année suivante.;;haie libre, arbre caduc, treillage, tonnelle, bac;caduc
;;les limaces;soleil;Brassicacées, Crucifères;avril;blanc;persistant;30 cm;Iberis sempervirens;semis au printemps, division de la touffe au printemps ou à l'automne, bouturage au mois d'août.;Europe du sud;sous-arbrisseau à fleurs;printemps, automne;;rustique;neutre;frais;ordinaire, bien drainé;Iberis commutata;taillez après la floraison pour conserver un port compact;;bordure, rocaille, couvre-sol, muret, bac;vivace
;;;ombre légère;Berbéridacées;mai;blanc et transparent;caduc;40 à 80 cm;Diphylleia grayi;division;Nord du Japon;plante ornementale couvre-sol;printemps, automne;;rustique jusqu'à -31 °C;très acide à neutre;frais à humide;riche et humifère;Diphylleia cymosa subsp. grayi;;;jardin d'ombre, sous-bois;plante vivace
;;;mi-ombre à ombre très claire;Liliacées;avril, mai;blanc à pourpre;semi-persistant;0,80 à 1,20 m;Disporum cantoniense;divisions, semis;Asie, Chine, Vietnam, Népal, Inde;plante ornementale;printemps;;rustique, jusqu'à -26 °C;neutre à acide;frais;drainant, humifère;;;;massif, potée;vivace
;;;mi-ombre à ombre très claire;Liliacées;avril, mai;blanc à rouge;semi-persistant;0,80 à 1,50 m;Disporum longistylum;division, semis;Chine;plante ornementale;printemps;;très rustique, jusqu'à -26 °C;neutre à acide;frais;drainant, humifère;;;;massif, potée;vivace
